restaurant_id,num_reviews,avg_localness,pct_local_reviews,pct_tourist_reviews,local_weighted_rating,tourist_weighted_rating,tourist_penalty,adjusted_score,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url,p_safe_pick
r_2f36e1,50.0,0.38416314375279886,0.0,0.52,4.8652916063356155,4.92165132776556,0.05635972142994472,4.837111745620643,Brooklyn Dumpling Shop,Manhattan,Chinese,NYC,ChIJ4Y4cuP9ZwokRGZzQkA4znvM,"453 E 78th St, New York, NY 10075",4.6,443,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNuhGkwVWNGCAkP4tqabCo7DV2quqxVenj5msvNe1Qx3gpzBklY4KI2gUjT7NH1Cxq_RmpR3Z_AyaDeghmY0w5dtKYGTdo5fKiTWOw0JOZmTsW-tmSe57CRQQKDVS0so00LhbcWJDubQy2=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Brooklyn%20Dumpling%20Shop&query_place_id=ChIJ4Y4cuP9ZwokRGZzQkA4znvM,0.8909855547709363
r_a9365c,50.0,0.18709714779866884,0.0,0.9,4.826915232424243,4.793805209066155,0.0,4.826915232424243,Akura ramen & sushi,Manhattan,Japanese,NYC,ChIJBwqOev9ZwokRXFRpHsvGlRk,"1588 York Ave, New York, NY 10028",4.8,112,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoEZReFhOJf46gEObYQ8_0Tvx4KPeqAK4goq9ek-TKBJJpe-Fn1GpuzBQee_GQ-d45_M0tnrCSfu24byrzwGxCobl5bZAOeyV9gx-xff3MGn3uO3as3uoEFD8WSTzU3-8FrORgtgDYSLQKY=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Akura%20ramen%20%26%20sushi&query_place_id=ChIJBwqOev9ZwokRXFRpHsvGlRk,0.8841614456071929
r_4d11f1,50.0,0.21300577509356938,0.0,0.9,4.820208442120198,4.794530436512724,0.0,4.820208442120198,Mojitos,Jackson Heights,American,NYC,ChIJJ1gMKadfwokRZHzqWJeEf0I,"81-01 Northern Blvd, Jackson Heights, NY 11372",4.8,2237,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhM5h_Z5qW912L8JxOPwanAKHNLopDWbL64Drp-t7q_2IFnF0S0sPhMw3L5fTNRpylWx8H8a3GZWz8Dp65-ML-gQAlKWTuVbR-MsQKLXdjNYVxXdn-FCsOXNdDQeSyZxZ7nZdtoLa4lxHo=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Mojitos&query_place_id=ChIJJ1gMKadfwokRZHzqWJeEf0I,0.8796728652178402
r_1cb461,30.0,0.21099136682133846,0.0,0.9333333333333333,4.804195157671479,4.629889725231846,0.0,4.804195157671479,The Noodle Way,East Bronx,Restaurant,NYC,ChIJy16kHh-LwokRssupNDYj--k,"3552 E Tremont Ave store 3, Bronx, NY 10465",4.7,30,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3GsPplzv119Oc3OvHA84YIOKriitpZqBGnbJDKTKcQeFg0oXUnXwRfjkLjm5kXjQBB4a1kJ-ibT5pV7LZwulhGuYUuEogTj9Xa74DYKqypQL2my7EQ8hrA8OcfLRI8FX_mlCvwOwHT9Uy=w408-h268-k-no,https://www.google.com/maps/search/?api=1&query=The%20Noodle%20Way&query_place_id=ChIJy16kHh-LwokRssupNDYj--k,0.8689558290071955
r_9c68cc,50.0,0.17447978690768784,0.0,0.94,4.80211579316556,4.799552811506231,0.0,4.80211579316556,Johnny's Reef,City Island,Seafood,NYC,ChIJh4kgf4-LwokRNpMUb_r4n70,"2 City Island Ave, Bronx, NY 10464",4.4,9323,https://lh3.googleusercontent.com/gps-cs-s/AHVAweouZqjDjJt1jx13QAC7yEombsg_VAvMlea50fbuJ2NX3tQnDQf9Y7o_YRpIDeV3bybYL28HEejaoJE5rMGam_FUmkSd9eVZ61zlC3bkxxgQxtltWftCymbX8xRGEngpSqB_qOZU=w408-h407-k-no,https://www.google.com/maps/search/?api=1&query=Johnny's%20Reef&query_place_id=ChIJh4kgf4-LwokRNpMUb_r4n70,0.8675641954059542
r_003b63,50.0,0.1958473069630581,0.02,0.92,4.798613715333757,4.750595825611931,0.0,4.798613715333757,Gia's Pizza,Astoria,Pizza,NYC,ChIJsSZu3s1fwokRcwcAEia--lo,"41-02 Astoria Blvd S, Astoria, NY 11103",4.6,199,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepYeewWRBimsBaQkTmBUcj46AK-G-8JdhJWDQ6mYV6gcLi7kQSGOrxxak1WraANY1HLGzAWzfF2fHNx3Cig9bF9j6w66rXdi4EboDUL8G_nh1Fi7bNylpYuY3KGMabWicWqtEVMloph9yd3=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Gia's%20Pizza&query_place_id=ChIJsSZu3s1fwokRcwcAEia--lo,0.8652203979760068
r_ba6042,50.0,0.33303927615410367,0.0,0.62,4.798272310615366,4.411034649713703,0.0,4.798272310615366,empire express,East Bronx,Chinese,NYC,ChIJ0Y_bgTiLwokRwiSn5vbYy-Q,"3482 E Tremont Ave, Bronx, NY 10465",4.7,255,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDl27Y7Z8ydL5H6gxS1In_W0pMQ0rWcqIEG0TysLpTThavd3EOFmWSlsNIozUV8FWVPrgsRICSF04SvVPlLGzRlW1osSUH64V33xbtSVFtZ8ur1EcSplBypL2G5czzHppx3CNR=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=empire%20express&query_place_id=ChIJ0Y_bgTiLwokRwiSn5vbYy-Q,0.8649919097641601
r_97bd01,50.0,0.21666767427425843,0.0,0.92,4.784701184922167,4.778699664535769,0.0,4.784701184922167,Maisonetta,Port Morris,Mexican,NYC,ChIJ6ZxdNlX1wokRtDoCPt_Iy4I,"141 Lincoln Ave, Bronx, NY 10454",4.5,358,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0Ume80K7skgFqBLGT1QEveeFxFHm4kdu8Wig5uJDOIYvNyc666-NVGdgvcgOucHdWZ8Xktj3fmXSoijiqa7uLQ6eHhM2iGuPB7UZwTuuETuhPsorJFwHprG1pDzjMI4dLJwEK=w408-h264-k-no,https://www.google.com/maps/search/?api=1&query=Maisonetta&query_place_id=ChIJ6ZxdNlX1wokRtDoCPt_Iy4I,0.8559093105048391
r_b194bb,50.0,0.22752424823202597,0.02,0.86,4.7832195188862245,4.701379385080686,0.0,4.7832195188862245,Falafel Crunch,Manhattan,Middle Eastern,NYC,ChIJrSrIEAD1wokR1ZazzJSDN7A,"2547 Amsterdam Ave, New York, NY 10033",4.8,68,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoHEJMIzu-EY_eGpFJYOf1Krb6eywSjEwkJhcVMdqFrtNLz5fm3Lz6Mp-zUnWSMntmQhcDxO2v6MBtS7yY-_5ybNiPmuFeMqbOy8Tgi-qt7r8M8W1_fXtJUvv6PKz3VCZz_ry2OObDgqxkQ=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Falafel%20Crunch&query_place_id=ChIJrSrIEAD1wokR1ZazzJSDN7A,0.8549176920389258
r_582ac1,50.0,0.20329890880061138,0.0,0.9,4.779941403623843,4.7800149523823485,7.354875850573706e-05,4.77990462924459,Native Noodles,Manhattan,Restaurant,NYC,ChIJBUwqQtX3wokRuc2aytaILFs,"2129 Amsterdam Ave, New York, NY 10032",4.6,364,https://lh3.googleusercontent.com/gps-cs-s/AHVAweposDLU0-CSKnbF2d-2TB6UvNcyu_x845pxLEeVBe3D8OD1aalYtV0m7wl8RGk1IIn45it-DJqND-vKHQb3CxKa1wJezhO3T7fN0Vsuj9zO53g0Fh3r9be20ESFHEH7rkNbmiRC5FYVqoE=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Native%20Noodles&query_place_id=ChIJBUwqQtX3wokRuc2aytaILFs,0.8526991720071697
r_e45a41,50.0,0.23357084757711483,0.0,0.84,4.778043442322447,4.728406183350523,0.0,4.778043442322447,Hunan Noodle,Flushing,Chinese,NYC,ChIJy_9PnVphwokRto0GMT_5mH8,"36-36 Prince St #102, Flushing, NY 11354",4.7,644,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqj_RGOqexummQdjKBXdrVY15BaFyXnGcSyIk_Ead23B500-_clSPq4jkop12tqFEhcji9ljU6ghKEZb04ZDyfW6xE4_lln7J0v1E902j29wFx67x0tN8iUL2q_znBj_RBV5MzTuA=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Hunan%20Noodle&query_place_id=ChIJy_9PnVphwokRto0GMT_5mH8,0.8514535557375496
r_d98771,50.0,0.2974347021943573,0.0,0.7,4.795233167295443,4.83048516847158,0.03525200117613725,4.777607166707375,Kuu,Manhattan,Japanese,NYC,ChIJZZGTpsRZwokR_Y_DVDs_wNM,"1275 1st Ave, New York, NY 10065",4.8,2236,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq6T-s98G_oZB0sOxh_F5H48pFATdhIhLjKvTjF9VDVyDpWM9zJRvQumDLPbyvipGTCAlyflxVG91H0VOw228zrX3alUP473gZOPJZd4TFva24a-mfwR2ntZVMP5vENkybCqa8=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Kuu&query_place_id=ChIJZZGTpsRZwokR_Y_DVDs_wNM,0.8511615743155291
r_718b5d,50.0,0.18904303191233096,0.0,0.94,4.767476293231885,4.73359497238119,0.0,4.767476293231885,Susuru Ramen,Long Island City,Ramen,NYC,ChIJI24tFJtfwokRG-LlfsXYTDA,"33-19 36th Ave, Long Island City, NY 11106",4.8,659,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeqNt5NmsFgSmd5GRrdKcQAudJMc5QIXkSYCT4DeQJLj9rx-lExiYo2-HfwKhUihnPWRoYlL4TD1Dhfyp5_5Ey6VmCVDnEiLXbl-S1U-RZvssjYTdi7VeQE-Jm78qQUCTZXBOa=w408-h513-k-no,https://www.google.com/maps/search/?api=1&query=Susuru%20Ramen&query_place_id=ChIJI24tFJtfwokRG-LlfsXYTDA,0.8443813951318035
r_7f2d33,50.0,0.3198754955570745,0.0,0.7,4.812427019783095,4.941187238897144,0.12876021911404933,4.74804691022607,The Handpulled Noodle | West Harlem,Manhattan,Chinese,NYC,ChIJvz7Nfuz3wokRVIkaEmj6fdM,"3600 Broadway, New York, NY 10031",4.6,1831,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoH4bq-Ko4D78KV4SwWbnkspKbHmc3SV3oGLjzDZguAwyytPOWlVOxxMqP9VHYmsxrHAlg_FbY6kYUUhWyLoQLJWU3Fu-wKNkILcFo1En6yrfzGnDpu6P8S5xgY75Hf5fXxBLg=w408-h614-k-no,https://www.google.com/maps/search/?api=1&query=The%20Handpulled%20Noodle%20%7C%20West%20Harlem&query_place_id=ChIJvz7Nfuz3wokRVIkaEmj6fdM,0.8313781039025352
r_3a799e,50.0,0.24757191310206367,0.0,0.78,4.744905337781835,4.499160473918299,0.0,4.744905337781835,ASAP Pizza Spot- Best pizza Astoria,Astoria,Pizza,NYC,ChIJW_ebm2RfwokRwYLy7r6qpMI,"37-05 28th Ave, Astoria, NY 11103",4.7,192,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqy4XMlxeqMdLi0_XdagEBXQzkwoBF_46Ccmxu_zO_rxABWtVblCdpJgjczfX2pIQashu56Ib1KxyGCh9dwDAhpVTwP7xNUeKrdB84p8z3YdQdI6J9Kpamel6iX0Q970z4SeGry=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=ASAP%20Pizza%20Spot-%20Best%20pizza%20Astoria&query_place_id=ChIJW_ebm2RfwokRwYLy7r6qpMI,0.8292755779809446
