restaurant_id,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url
r_99ffaf,Angie's Cafe & Pizza,West Bronx,Pizza,NYC,ChIJa4QXf9v1wokRBkH_7sHrnZ8,"2559 Third Ave, Bronx, NY 10451",4.6,410,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqaNNkyviNYWAsi_A5RUyL4Yy14U0Wh9ZBf47kn4p9i8htAYGXPoFpB-UdA4idvwAy6V_QCWaMTcXazsb50Egi-u13O7kfWEs-2J74JURICFevaWX9_NlkIuFWV3WD46AYwfD0=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Angie's%20Cafe%20%26%20Pizza&query_place_id=ChIJa4QXf9v1wokRBkH_7sHrnZ8
r_fc6abf,Mimi's Pizza (3rd Ave & 86th),Manhattan,Pizza,NYC,ChIJcbFFteRZwokR1oVEs064myU,"217 East 86th St, New York, NY 10028",4.7,698,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFkPtoNggfAb7ILNdEq9D5FbMm6b6C7yAbnh2rzTxR3uTccni2qsDqRK40IXTf0QWZ68kBUhrFROTceQd_XqlleUX5woxA2VH2KmTjDYIf9VOVpsYujwOOIxxLSB9we4uBiEhY=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Mimi's%20Pizza%20(3rd%20Ave%20%26%2086th)&query_place_id=ChIJcbFFteRZwokR1oVEs064myU
r_86cb94,El Paisano Pizza & Pasta,East Bronx,Pizza,NYC,ChIJHU_YhEeLwokRi_J8FTqU6FU,"3444 E Tremont Ave, Bronx, NY 10465",4.6,102,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFUaerBrfQ8F58NVAHq4HPDMgUgdgWDtU88xrggxwequZtehD7C4ki_ByTJWm5SvmwlEg1PwVpslA9PNaRxKFp83IyqDjY8zBB2PaZOkvttg09tQdqA-Qs9iCxO6bGHwVzhC60aA=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=El%20Paisano%20Pizza%20%26%20Pasta&query_place_id=ChIJHU_YhEeLwokRi_J8FTqU6FU
r_75c7f5,Cestra's Pizza,East Bronx,Pizza,NYC,ChIJ7YGbKj-LwokR0ShdWBFMBC0,"3631 E Tremont Ave, Bronx, NY 10465",4.5,439,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerYeH4UU4E5Nih9cdh8xikyS8LcDkJCi7To80xJTeStoNH-GVRoOmtHiQBOzte_8HFSjkkjb1nwsPECi6Bbqjzi-bmtu3K24-TzyZN5I-lTGSFYDCzMFeZNl4ELBe1hTgvfKlmGDA=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Cestra's%20Pizza&query_place_id=ChIJ7YGbKj-LwokR0ShdWBFMBC0
r_ca8c2e,Frank's Pizza,East Bronx,Pizza,NYC,ChIJIUgK9lGLwokRks_WipIpr8o,"2823 Middletown Rd, Bronx, NY 10461",4.4,652,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerzEJNPyTV_NBISib3kiu1xCH1Vnlu3tYL2h2LBb7fZQMVDg5vz2-XtlPdFv3Tnm1vYCREY6ZaxEsYmgLCVSD9zwsXSHCx6YBdDMxgC4k2tzdelWSGz04DiHBvKOSpWIvranTYN=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Frank's%20Pizza&query_place_id=ChIJIUgK9lGLwokRks_WipIpr8o
r_009db9,Yankee’s Pizza,East Bronx,Pizza,NYC,ChIJ3wNnje_0wokRUNuFVkXL1NE,"1599 Westchester Ave, Bronx, NY 10472",4.5,431,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoWpyEziTkbUiMK1-RyvA6kwC_WO9KGpy8v88IOy0DkKfE01xLhM55oGTQXFYAIbDcj6TO_NEdtDv8-FPKF5mfn7M8CHE0GMiZm2DU9XWgXYr7uw9qX-uyRu3JzpVWai0GKR0Q=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Yankee%E2%80%99s%20Pizza&query_place_id=ChIJ3wNnje_0wokRUNuFVkXL1NE
r_448982,Country Bay Pizza,East Bronx,Pizza,NYC,ChIJ___PFV6LwokRrjScJYclyHw,"3233 Ampere Ave, Bronx, NY 10465",4.5,67,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepa_AWhG-rhLy8wlPUeuNFOHlrxlF75neQAcxtaHm99lNGNqZTTZ_Gu60sSF4hADtMTbv5-pt6wHp2ScToOGXx_eu5qMMBpOJj4JQHew1q5wUOOS9zBdmDcZ3deMCdx2jpuiG7t=w408-h484-k-no,https://www.google.com/maps/search/?api=1&query=Country%20Bay%20Pizza&query_place_id=ChIJ___PFV6LwokRrjScJYclyHw
r_65236b,Loretta's Pizza,East Bronx,Pizza,NYC,ChIJ8yVV-2mLwokRLAAhn7mByp4,"3276 Layton Ave, Bronx, NY 10465",4.5,457,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_JO9tXkdBiFw2zKxSmMnytXOFrL_NrAJ5-JYZhiyfziStOC4CVCU8jgZYomEEdRLwQNoGmIPDkSlFQ_f5d_1LnOzcYyBFWXvQ9_YpTg6tKQ1VIOL4s93W4jXNgxj1nWFG8UGH=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Loretta's%20Pizza&query_place_id=ChIJ8yVV-2mLwokRLAAhn7mByp4
r_a49716,Primavera Pizzeria,East Bronx,Pizza,NYC,ChIJU5vUnur1wokRrQeQiGzRd5c,"761 Morris Park Ave, Bronx, NY 10462",4.6,192,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrgcws88XYKrSfbryft94zaf1WzU0LrtTgf1MbtJ155utCLihrFDT9WpLH4f_pC8czx9j5Cco7bxpIyyu644XSBMwN0MspUXLZACQcuufNufFdVQVr5Bk31qxi87xC47nmsmEI=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Primavera%20Pizzeria&query_place_id=ChIJU5vUnur1wokRrQeQiGzRd5c
r_003b63,Gia's Pizza,Astoria,Pizza,NYC,ChIJsSZu3s1fwokRcwcAEia--lo,"41-02 Astoria Blvd S, Astoria, NY 11103",4.6,199,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepYeewWRBimsBaQkTmBUcj46AK-G-8JdhJWDQ6mYV6gcLi7kQSGOrxxak1WraANY1HLGzAWzfF2fHNx3Cig9bF9j6w66rXdi4EboDUL8G_nh1Fi7bNylpYuY3KGMabWicWqtEVMloph9yd3=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Gia's%20Pizza&query_place_id=ChIJsSZu3s1fwokRcwcAEia--lo
